text,problem
my v60 tastes like lemons,sour
the aftertaste is harsh and burnt,bitter
my coffee is thin and watery,weak
"it tastes hollow, like there's nothing there",hollow
my coffee has a metallic taste,metallic
this tastes really sour,sour
"it has a salty aftertaste, which is weird",salty
the coffee tastes muddy and unclear,muddy
my coffee tastes stale,stale
there's a weird papery taste,papery
why does this taste like burnt toast?,bitter
it tastes like brown water,weak
the flavor disappears almost instantly,hollow
it's like I'm licking a battery,metallic
it's unpleasantly tangy,sour
my french press is really sludgy,muddy
my coffee tastes salty,salty
this is just a cup of bitterness,bitter
my pour-over has a papery aftertaste,papery
it tastes like cardboard,stale
tastes like unripe fruit,sour
my coffee is overwhelmingly bitter,bitter
"this is so thin, it has no body",weak
it starts okay but then just vanishes,hollow
there's a weird tinny or coppery aftertaste,metallic
my aeropress is making sour coffee,sour
my french press is super bitter today,bitter
"it's like a tea, but not in a good way",weak
the coffee feels empty,hollow
"why is there a savory, salty taste?",salty
"it has a dusty, chalky texture",muddy
"it tastes old, like it's been sitting out",stale
my v60 tastes like the filter,papery
this tastes under-extracted,sour
it tastes like aspirin,bitter
why is my coffee so watery?,weak
it's sour and bitter at the same time,hollow
this has a weird briny flavor,salty
the flavors are all muddled together,muddy
it's lifeless and has no vibrancy,stale
it tastes like wet paper,papery
why does my coffee taste like metal?,metallic
"super sour, what did I do wrong?",sour
the finish is really harsh and unpleasant,bitter
the flavor is really faint,weak
the taste is confusing and unbalanced,hollow
it's like someone put salt in my coffee,salty
it tastes dirty,muddy
tastes like a generic cup of gas station coffee,stale
I'm getting a strong cardboard flavor,papery
"I'm getting a sharp, metallic tang",metallic
the acidity is way too high,sour
tastes like I over-brewed it,bitter
my chemex tastes diluted,weak
lacks depth and complexity,hollow
the finish is strangely salty,salty
the mouthfeel is unpleasant and gritty,muddy
the flavor is really dull,stale
"the coffee has a woody, papery note that's distracting",papery
it tastes like blood or coins,metallic
"this has a really aggressive, sour taste",sour
it's acrid and smoky in a bad way,bitter
it's not strong enough,weak
it has a beginning but no finish,hollow
"tastes like broth, not coffee",salty
I can't pick out any specific tasting notes,muddy
"my beans might be old, the coffee tastes flat",stale
it tastes like I'm drinking the filter,papery
the water from my kettle might be making it taste metallic,metallic
my coffee is puckeringly sour,sour
"help, my coffee is too bitter",bitter
lacks any real coffee taste,weak
the flavor profile feels incomplete,hollow
there's a definite saline quality to this,salty
it's heavy and tastes like dirt,muddy
"it has a papery, stale flavor",stale
my chemex tastes like cardboard,papery
this has a really unpleasant metallic flavor,metallic
it's sharp and acidic,sour
this is too astringent,bitter
this is disappointingly weak,weak
this tastes shallow,hollow
"this doesn't taste right, almost salty",salty
the clarity is very poor,muddy
"zero complexity, just tastes like old coffee",stale
the dominant flavor is just... paper,papery
"there's a mineral-like, metallic taste",metallic
my coffee tastes like under-ripe berries,sour
it leaves a dry feeling in my mouth,bitter
how do I make it less watery?,weak
it's a bit of sourness and a bit of bitterness,hollow
"help, my brew is salty",salty
it's a very messy cup,muddy
this tastes woody and flat,stale
did I do something wrong with my filter? It tastes like it,papery
my coffee has a strange metallic zing,metallic
why is it so tangy?,sour
the coffee tastes burnt,bitter
this tastes so diluted,weak
the flavor is just gone in a second,hollow
unpleasant savory note,salty
